,Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
408,44017,"18,903","1,427",139.0,49.0,"7,549.10",735.3,259.2
410,44022,"16,604","1,063",127.0,36.0,"6,402.10",764.9,216.8
419,44040,"2,903",233,24.0,10.0,"8,026.20",826.7,344.5
439,44070,"31,847","2,332",210.0,66.0,"7,322.50",659.4,207.2
458,44101,610,18,,,"2,950.80",,
459,44102,"45,514","3,227",304.0,97.0,"7,090.10",667.9,213.1
460,44103,"16,519","1,147",102.0,43.0,"6,943.50",617.5,260.3
461,44104,"19,640","1,124",108.0,28.0,"5,723.00",549.9,142.6
462,44105,"37,211","2,192",173.0,55.0,"5,890.70",464.9,147.8
463,44106,"25,752","1,468",112.0,33.0,"5,700.50",434.9,128.1
464,44107,"50,666","3,888",304.0,108.0,"7,673.80",600,213.2
465,44108,"21,939","1,354",116.0,42.0,"6,171.70",528.7,191.4
466,44109,"40,246","2,955",289.0,91.0,"7,342.30",718.1,226.1
467,44110,"19,116","1,223",129.0,51.0,"6,397.80",674.8,266.8
468,44111,"42,821","3,186",283.0,112.0,"7,440.30",660.9,261.6
469,44112,"21,909","1,276",100.0,23.0,"5,824.10",456.4,105
470,44113,"20,358","1,769",150.0,48.0,"8,689.50",736.8,235.8
471,44114,"6,567",568,50.0,19.0,"8,649.30",761.4,289.3
472,44115,"8,284",735,66.0,27.0,"8,872.50",796.7,325.9
473,44116,"20,338","1,566",110.0,31.0,"7,699.90",540.9,152.4
474,44117,"9,611",817,73.0,14.0,"8,500.70",759.5,145.7
475,44118,"38,833","2,743",230.0,66.0,"7,063.60",592.3,170
476,44119,"13,108","1,046",72.0,26.0,"7,979.90",549.3,198.4
477,44120,"34,276","1,989",141.0,46.0,"5,802.90",411.4,134.2
478,44121,"33,211","2,385",157.0,46.0,"7,181.40",472.7,138.5
479,44122,"33,342","2,479",219.0,65.0,"7,435.10",656.8,194.9
480,44123,"16,515","1,342",91.0,36.0,"8,125.90",551,218
481,44124,"37,737","3,010",250.0,76.0,"7,976.30",662.5,201.4
482,44125,"27,939","2,305",172.0,51.0,"8,250.10",615.6,182.5
483,44126,"16,372","1,280",94.0,29.0,"7,818.20",574.2,177.1
484,44127,"4,375",222,25.0,7.0,"5,074.30",571.4,160
485,44128,"28,790","2,181",167.0,49.0,"7,575.50",580.1,170.2
486,44129,"28,276","2,225",145.0,42.0,"7,868.90",512.8,148.5
487,44130,"49,787","3,775",260.0,70.0,"7,582.30",522.2,140.6
488,44131,"20,532","1,522",115.0,41.0,"7,412.80",560.1,199.7
489,44132,"14,805","1,145",93.0,35.0,"7,733.90",628.2,236.4
490,44133,"30,225","2,401",220.0,67.0,"7,943.80",727.9,221.7
491,44134,"37,533","3,033",214.0,58.0,"8,080.90",570.2,154.5
492,44135,"27,640","2,017",216.0,71.0,"7,297.40",781.5,256.9
493,44136,"25,776","2,049",185.0,47.0,"7,949.30",717.7,182.3
494,44137,"22,657","1,882",109.0,39.0,"8,306.50",481.1,172.1
495,44138,"22,378","1,535",169.0,53.0,"6,859.40",755.2,236.8
496,44139,"24,212","1,446",97.0,26.0,"5,972.20",400.6,107.4
497,44140,"15,391","1,148",123.0,29.0,"7,458.90",799.2,188.4
498,44141,"13,830","1,099",152.0,47.0,"7,946.50","1,099.10",339.8
499,44142,"18,674","1,539",126.0,41.0,"8,241.40",674.7,219.6
500,44143,"24,241","2,102",149.0,43.0,"8,671.30",614.7,177.4
501,44144,"21,697","1,776",166.0,44.0,"8,185.50",765.1,202.8
502,44145,"32,378","2,724",172.0,59.0,"8,413.10",531.2,182.2
503,44146,"29,223","2,231",165.0,47.0,"7,634.40",564.6,160.8
504,44147,"19,361","1,490",129.0,48.0,"7,695.90",666.3,247.9
505,44149,"18,976","1,609",162.0,50.0,"8,479.10",853.7,263.5
